Date,Close
1/4/2021 16:00:00,57.95
1/5/2021 16:00:00,59.44
1/6/2021 16:00:00,58.54
1/7/2021 16:00:00,58.15
1/8/2021 16:00:00,57.92
1/11/2021 16:00:00,56.41
1/12/2021 16:00:00,56.62
1/13/2021 16:00:00,55.3
1/14/2021 16:00:00,55.68
1/15/2021 16:00:00,53.44
1/19/2021 16:00:00,54.45
1/20/2021 16:00:00,54.43
1/21/2021 16:00:00,55.38
1/22/2021 16:00:00,54.18
1/25/2021 16:00:00,52.98
1/26/2021 16:00:00,52.42
1/27/2021 16:00:00,49.04
1/28/2021 16:00:00,49.08
1/29/2021 16:00:00,48.09
2/1/2021 16:00:00,49.07
2/2/2021 16:00:00,52.16
2/3/2021 16:00:00,53.8
2/4/2021 16:00:00,52.95
2/5/2021 16:00:00,55.57
2/8/2021 16:00:00,55.3
2/9/2021 16:00:00,54.4
2/10/2021 16:00:00,55.51
2/11/2021 16:00:00,55
2/12/2021 16:00:00,56.02
2/16/2021 16:00:00,57.46
2/17/2021 16:00:00,57.99
2/18/2021 16:00:00,58.24
2/19/2021 16:00:00,60.18
2/22/2021 16:00:00,61.74
2/23/2021 16:00:00,64.38
2/24/2021 16:00:00,64.81
2/25/2021 16:00:00,62.55
2/26/2021 16:00:00,62.6
3/1/2021 16:00:00,63.05
3/2/2021 16:00:00,64.95
3/3/2021 16:00:00,65.82
3/4/2021 16:00:00,62.35
3/5/2021 16:00:00,62.44
3/8/2021 16:00:00,63.26
3/9/2021 16:00:00,62.12
3/10/2021 16:00:00,62.02
3/11/2021 16:00:00,63.16
3/12/2021 16:00:00,62.45
3/15/2021 16:00:00,66.2
3/16/2021 16:00:00,64.97
3/17/2021 16:00:00,65.93
3/18/2021 16:00:00,64.77
3/19/2021 16:00:00,63.74
3/22/2021 16:00:00,62.87
3/23/2021 16:00:00,59.35
3/24/2021 16:00:00,59.16
3/25/2021 16:00:00,60.72
3/26/2021 16:00:00,61
3/29/2021 16:00:00,59.72
3/30/2021 16:00:00,61.22
3/31/2021 16:00:00,60.76
4/1/2021 16:00:00,61.85
4/5/2021 16:00:00,62.6
4/6/2021 16:00:00,63.61
4/7/2021 16:00:00,62.13
4/8/2021 16:00:00,62.6
4/9/2021 16:00:00,61.94
4/12/2021 16:00:00,61.61
4/13/2021 16:00:00,61
4/14/2021 16:00:00,61.31
4/15/2021 16:00:00,61.29
4/16/2021 16:00:00,61
4/19/2021 16:00:00,60.62
4/20/2021 16:00:00,59.04
4/21/2021 16:00:00,60.76
4/22/2021 16:00:00,58.33
4/23/2021 16:00:00,59.76
4/26/2021 16:00:00,59.3
4/27/2021 16:00:00,60.73
4/28/2021 16:00:00,61.74
4/29/2021 16:00:00,61.19
4/30/2021 16:00:00,61.26
5/3/2021 16:00:00,61.06
5/4/2021 16:00:00,59.34
5/5/2021 16:00:00,59.46
5/6/2021 16:00:00,57.27
5/7/2021 16:00:00,57.7
5/10/2021 16:00:00,57.14
5/11/2021 16:00:00,56.24
5/12/2021 16:00:00,54.94
5/13/2021 16:00:00,55.76
5/14/2021 16:00:00,57.9
5/17/2021 16:00:00,56.76
5/18/2021 16:00:00,56.71
5/19/2021 16:00:00,56.13
5/20/2021 16:00:00,57.76
5/21/2021 16:00:00,57.72
5/24/2021 16:00:00,57.74
5/25/2021 16:00:00,57.67
5/26/2021 16:00:00,59.01
5/27/2021 16:00:00,58.56
5/28/2021 16:00:00,57.75
6/1/2021 16:00:00,59.2
6/2/2021 16:00:00,58.92
6/3/2021 16:00:00,56.76
6/4/2021 16:00:00,56.52
6/7/2021 16:00:00,56.52
6/8/2021 16:00:00,55.92
6/9/2021 16:00:00,55.09
6/10/2021 16:00:00,55.39
6/11/2021 16:00:00,55.63
6/14/2021 16:00:00,54.15
6/15/2021 16:00:00,54.29
6/16/2021 16:00:00,54.37
6/17/2021 16:00:00,54.14
6/18/2021 16:00:00,53
6/21/2021 16:00:00,54.57
6/22/2021 16:00:00,53.6
6/23/2021 16:00:00,53.37
6/24/2021 16:00:00,51.92
6/25/2021 16:00:00,52.68
6/28/2021 16:00:00,51.37
6/29/2021 16:00:00,51.18
6/30/2021 16:00:00,52.69
7/1/2021 16:00:00,53.13
7/2/2021 16:00:00,53.07
7/6/2021 16:00:00,51.53
7/7/2021 16:00:00,50.85
7/8/2021 16:00:00,50.25
7/9/2021 16:00:00,51.33
7/12/2021 16:00:00,51.02
7/13/2021 16:00:00,50.49
7/14/2021 16:00:00,50.12
7/15/2021 16:00:00,49.44
7/16/2021 16:00:00,47.82
7/19/2021 16:00:00,47.34
7/20/2021 16:00:00,47.78
7/21/2021 16:00:00,49.42
7/22/2021 16:00:00,47.22
7/23/2021 16:00:00,45.77
7/26/2021 16:00:00,45.35
7/27/2021 16:00:00,43.62
7/28/2021 16:00:00,44.51
7/29/2021 16:00:00,42.99
7/30/2021 16:00:00,42.35
8/2/2021 16:00:00,41.51
8/3/2021 16:00:00,40.13
8/4/2021 16:00:00,38.86
8/5/2021 16:00:00,40.77
8/6/2021 16:00:00,40.87
8/9/2021 16:00:00,40.64
8/10/2021 16:00:00,40.97
8/11/2021 16:00:00,40.99
8/12/2021 16:00:00,40.79
8/13/2021 16:00:00,39.96
8/16/2021 16:00:00,39.35
8/17/2021 16:00:00,38.64
8/18/2021 16:00:00,38.32
8/19/2021 16:00:00,36.77
8/20/2021 16:00:00,37.55
8/23/2021 16:00:00,39.73
8/24/2021 16:00:00,42.72
